（key值）,中文-1
（key值）,中文-1
both,both
key,zh_cn
string,string
Npc_Xavier_Normal_Content_001,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_001,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_001,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_004,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_001,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_006,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_007,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_008,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_009,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_010,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_011,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_012,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_013,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_014,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_015,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_016,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_017,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_018,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_019,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_020,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_021,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_022,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_023,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_024,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_025,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_026,怎么？你总算处理完手里的事，准备去码头了？
Npc_Xavier_Normal_Content_027,怎么？你总算处理完手里的事，准备去码头了？
